member_id,engagement_score,home_studio_region,gender,age,membership_tenure_months,avg_weekly_classes_last_6_months,num_unique_class_types_attended,auto_renew_enabled,last_attended_30_days_flag,monthly_membership_cost,referral_source,is_churned,studio_name,studio_id,address_full
M0019,80,Region_8,Non-binary,51.85763176,40,4.038461538,4,0,1,169,Walk-in,1,Hilltop Village,STUDIO_006,"4243 E 136TH AVE, Thornton, CO 80602"
M0020,41,Region_8,Female,52.41341547,24,0.961538462,4,0,1,229,Community Event,0,Hilltop Village,STUDIO_006,"4243 E 136TH AVE, Thornton, CO 80602"
M0021,37,Region_7,Male,24.60232717,12,1.115384615,4,1,1,229,Employer Program,1,Hilltop Village,STUDIO_006,"4243 E 136TH AVE, Thornton, CO 80602"
M0022,74,Region_4,Male,51.92060233,48,3.0,4,1,1,129,Friend,0,Broomfield,STUDIO_001,"1285 E 1ST AVENUE, Broomfield, CO 80020"
M0023,56,Region_4,Male,27.4661191,57,0.807692308,4,1,1,229,Employer Program,0,Hilltop Village,STUDIO_006,"4243 E 136TH AVE, Thornton, CO 80602"
M0024,55,Region_1,Female,29.27036277,31,2.038461538,4,0,1,229,Walk-in,1,Highlands Ranch,STUDIO_014,"1493 PARK CENTRAL DR, Highlands Ranch, CO 80129"
M0025,68,Region_0,Female,58.94592745,14,4.192307692,4,1,1,169,Social Media,1,Hilltop Village,STUDIO_006,"4243 E 136TH AVE, Thornton, CO 80602"
M0026,46,Region_7,Non-binary,63.77002053,29,1.192307692,4,1,1,229,Employer Program,1,Cherry Knolls,STUDIO_012,"6860 S University Blvd, Littleton, CO 80122"
M0027,56,Region_5,Female,45.03216975,34,1.923076923,4,1,1,229,Employer Program,0,Lowry,STUDIO_009,"200 QUEBEC ST, Denver, CO 80230"
M0028,27,Region_5,Female,62.63381246,45,0.538461538,4,0,0,129,Other,1,Cherry Knolls,STUDIO_012,"6860 S University Blvd, Littleton, CO 80122"
M0029,71,Region_5,Non-binary,34.18206708,17,4.269230769,4,1,1,229,Friend,0,Lowry,STUDIO_009,"200 QUEBEC ST, Denver, CO 80230"
M0030,52,Region_0,Female,20.05201916,19,2.269230769,4,1,1,229,Online Ad,0,Castle Rock,STUDIO_015,"3990 LIMELIGHT AVE, Castle Rock, CO 80109"
M0031,77,Region_0,Female,26.19849418,55,2.961538462,4,1,1,129,Social Media,1,Highlands Ranch,STUDIO_014,"1493 PARK CENTRAL DR, Highlands Ranch, CO 80129"
M0032,73,Region_8,Female,60.12320329,17,4.5,4,1,1,129,Online Ad,0,Cherry Knolls,STUDIO_012,"6860 S University Blvd, Littleton, CO 80122"
M0033,46,Region_7,Female,22.83093771,16,1.884615385,4,1,1,129,Online Ad,0,Uptown Denver,STUDIO_004,"450 E. 17TH AVE, Denver, CO 80203"
M0034,35,Region_4,Male,28.8733744,12,0.923076923,4,1,1,229,Friend,1,Hilltop Village,STUDIO_006,"4243 E 136TH AVE, Thornton, CO 80602"
M0035,75,Region_6,Male,42.82546201,29,4.076923077,4,1,1,169,Community Event,0,Hilltop Village,STUDIO_006,"4243 E 136TH AVE, Thornton, CO 80602"
M0036,80,Region_0,Non-binary,36.1889117,48,3.615384615,4,1,1,169,Online Ad,0,Uptown Denver,STUDIO_004,"450 E. 17TH AVE, Denver, CO 80203"
M0037,100,Region_0,Male,50.10540726,71,4.576923077,4,1,1,169,Other,0,Applewood Village,STUDIO_008,"3244 YOUNGFIELD ST, Wheat Ridge, CO 80033"
M0038,86,Region_8,Non-binary,43.38124572,49,4.192307692,4,1,1,169,Friend,0,Highlands Ranch,STUDIO_014,"1493 PARK CENTRAL DR, Highlands Ranch, CO 80129"
M0039,48,Region_8,Female,50.45859001,28,1.461538462,4,1,1,169,Employer Program,1,Cherry Knolls,STUDIO_012,"6860 S University Blvd, Littleton, CO 80122"
M0040,80,Region_2,Non-binary,21.2183436,36,4.269230769,4,1,1,229,Friend,0,Uptown Denver,STUDIO_004,"450 E. 17TH AVE, Denver, CO 80203"
M0041,54,Region_3,Male,48.39972621,31,1.923076923,4,1,1,129,Community Event,1,Broomfield,STUDIO_001,"1285 E 1ST AVENUE, Broomfield, CO 80020"
M0042,42,Region_0,Female,22.56536619,31,0.730769231,4,1,1,229,Social Media,0,Broomfield,STUDIO_001,"1285 E 1ST AVENUE, Broomfield, CO 80020"
M0043,71,Region_4,Non-binary,19.87132101,65,1.884615385,4,1,1,129,Social Media,1,Broomfield,STUDIO_001,"1285 E 1ST AVENUE, Broomfield, CO 80020"
M0044,48,Region_4,Female,43.96440794,10,2.307692308,4,1,1,129,Walk-in,1,Cherry Knolls,STUDIO_012,"6860 S University Blvd, Littleton, CO 80122"
M0045,49,Region_6,Male,27.98631075,3,2.834710744,4,1,1,129,Partnership,0,Cherry Knolls,STUDIO_012,"6860 S University Blvd, Littleton, CO 80122"
M0046,89,Region_0,Non-binary,62.34907598,56,4.153846154,4,1,1,229,Employer Program,0,Lowry,STUDIO_009,"200 QUEBEC ST, Denver, CO 80230"
M0047,84,Region_8,Male,43.25804244,69,3.038461538,4,0,1,229,Friend,0,Cherry Knolls,STUDIO_012,"6860 S University Blvd, Littleton, CO 80122"
M0048,54,Region_5,Non-binary,40.13141684,9,3.038461538,4,1,1,169,Social Media,1,Highlands Ranch,STUDIO_014,"1493 PARK CENTRAL DR, Highlands Ranch, CO 80129"
M0049,68,Region_7,Non-binary,34.07802875,23,3.653846154,4,1,1,229,Online Ad,0,Denver Highlands,STUDIO_005,"3300 W 32ND AVENUE, Denver, CO 80211"
M0050,50,Region_7,Non-binary,32.59411362,7,2.653846154,4,0,1,169,Community Event,1,Cherry Knolls,STUDIO_012,"6860 S University Blvd, Littleton, CO 80122"
M0051,72,Region_3,Non-binary,28.61327858,35,3.461538462,4,1,1,169,Friend,1,Hilltop Village,STUDIO_006,"4243 E 136TH AVE, Thornton, CO 80602"
M0052,38,Region_3,Male,52.3613963,10,1.307692308,4,1,1,229,Online Ad,1,Uptown Denver,STUDIO_004,"450 E. 17TH AVE, Denver, CO 80203"
M0053,63,Region_4,Male,38.9486653,46,2.038461538,4,1,1,229,Community Event,1,Castle Rock,STUDIO_015,"3990 LIMELIGHT AVE, Castle Rock, CO 80109"
M0054,67,Region_1,Female,38.93497604,56,1.923076923,4,1,1,229,Online Ad,1,Applewood Village,STUDIO_008,"3244 YOUNGFIELD ST, Wheat Ridge, CO 80033"
M0055,73,Region_6,Non-binary,38.54893908,40,3.384615385,4,1,1,169,Community Event,0,Applewood Village,STUDIO_008,"3244 YOUNGFIELD ST, Wheat Ridge, CO 80033"
M0056,70,Region_0,Non-binary,29.60438056,11,4.5,4,0,1,169,Social Media,0,Cherry Knolls,STUDIO_012,"6860 S University Blvd, Littleton, CO 80122"
M0057,53,Region_5,Non-binary,46.90485969,41,1.269230769,4,1,1,229,Community Event,0,Castle Rock,STUDIO_015,"3990 LIMELIGHT AVE, Castle Rock, CO 80109"
M0058,70,Region_7,Male,53.9192334,56,2.230769231,4,1,1,229,Partnership,1,Broomfield,STUDIO_001,"1285 E 1ST AVENUE, Broomfield, CO 80020"
M0059,30,Region_8,Non-binary,46.72142368,2,0.969230769,4,1,1,229,Online Ad,1,Highlands Ranch,STUDIO_014,"1493 PARK CENTRAL DR, Highlands Ranch, CO 80129"
M0060,67,Region_0,Female,29.16358658,9,4.269230769,4,1,1,229,Friend,0,Lowry,STUDIO_009,"200 QUEBEC ST, Denver, CO 80230"
M0061,29,Region_7,Male,63.08281999,3,0.764705882,4,1,1,129,Friend,1,Highlands Ranch,STUDIO_014,"1493 PARK CENTRAL DR, Highlands Ranch, CO 80129"
M0062,49,Region_4,Male,37.81793292,12,2.384615385,4,1,1,229,Partnership,1,Applewood Village,STUDIO_008,"3244 YOUNGFIELD ST, Wheat Ridge, CO 80033"
M0063,74,Region_0,Male,37.87816564,55,2.692307692,4,1,1,229,Partnership,0,Cherry Knolls,STUDIO_012,"6860 S University Blvd, Littleton, CO 80122"
M0064,37,Region_0,Male,57.06502396,10,1.269230769,4,1,1,229,Community Event,0,Applewood Village,STUDIO_008,"3244 YOUNGFIELD ST, Wheat Ridge, CO 80033"
M0065,58,Region_3,Non-binary,28.69267625,55,1.076923077,4,1,1,229,Social Media,0,Hilltop Village,STUDIO_006,"4243 E 136TH AVE, Thornton, CO 80602"
M0066,65,Region_2,Non-binary,36.42984257,45,2.307692308,4,1,1,129,Online Ad,1,Cherry Knolls,STUDIO_012,"6860 S University Blvd, Littleton, CO 80122"
M0067,86,Region_8,Female,61.2347707,65,3.384615385,4,1,1,169,Community Event,1,Highlands Ranch,STUDIO_014,"1493 PARK CENTRAL DR, Highlands Ranch, CO 80129"
M0068,81,Region_0,Male,42.89117043,60,3.192307692,4,1,1,129,Employer Program,0,Broomfield,STUDIO_001,"1285 E 1ST AVENUE, Broomfield, CO 80020"
M0069,65,Region_2,Male,41.86447639,27,3.230769231,4,1,1,169,Partnership,0,Highlands Ranch,STUDIO_014,"1493 PARK CENTRAL DR, Highlands Ranch, CO 80129"
M0070,64,Region_2,Female,50.59000684,22,3.346153846,4,1,1,169,Employer Program,0,Cherry Knolls,STUDIO_012,"6860 S University Blvd, Littleton, CO 80122"
M0071,40,Region_2,Male,21.0349076,19,1.076923077,4,1,1,129,Online Ad,0,Highlands Ranch,STUDIO_014,"1493 PARK CENTRAL DR, Highlands Ranch, CO 80129"
M0072,47,Region_2,Male,58.84736482,11,2.153846154,4,0,1,169,Online Ad,0,Cherry Knolls,STUDIO_012,"6860 S University Blvd, Littleton, CO 80122"
M0073,74,Region_1,Non-binary,24.80492813,36,3.615384615,4,1,1,169,Social Media,0,Applewood Village,STUDIO_008,"3244 YOUNGFIELD ST, Wheat Ridge, CO 80033"
M0074,34,Region_6,Non-binary,32.55304586,7,1.076923077,4,1,1,229,Community Event,1,Hilltop Village,STUDIO_006,"4243 E 136TH AVE, Thornton, CO 80602"
M0075,64,Region_8,Non-binary,37.73305955,31,2.884615385,4,1,1,169,Friend,0,Cherry Knolls,STUDIO_012,"6860 S University Blvd, Littleton, CO 80122"
M0076,41,Region_5,Non-binary,36.0164271,1,2.1,3,1,1,169,Employer Program,0,Cherry Knolls,STUDIO_012,"6860 S University Blvd, Littleton, CO 80122"
M0077,90,Region_2,Male,35.70431211,63,3.923076923,4,1,1,229,Friend,0,Broomfield,STUDIO_001,"1285 E 1ST AVENUE, Broomfield, CO 80020"
M0078,57,Region_4,Female,62.23134839,32,2.192307692,4,0,1,129,Friend,1,Castle Rock,STUDIO_015,"3990 LIMELIGHT AVE, Castle Rock, CO 80109"
M0079,47,Region_8,Male,34.41752225,43,0.615384615,3,1,1,169,Other,1,Lowry,STUDIO_009,"200 QUEBEC ST, Denver, CO 80230"
M0080,78,Region_8,Non-binary,33.28952772,34,4.153846154,4,1,1,229,Social Media,0,Castle Rock,STUDIO_015,"3990 LIMELIGHT AVE, Castle Rock, CO 80109"
M0081,52,Region_3,Female,59.3100616,22,2.115384615,4,1,1,229,Online Ad,0,Highlands Ranch,STUDIO_014,"1493 PARK CENTRAL DR, Highlands Ranch, CO 80129"
M0082,51,Region_6,Non-binary,58.60643395,18,2.230769231,4,1,1,169,Partnership,0,Highlands Ranch,STUDIO_014,"1493 PARK CENTRAL DR, Highlands Ranch, CO 80129"
M0083,43,Region_8,Male,58.10814511,24,1.153846154,4,0,1,229,Partnership,1,Highlands Ranch,STUDIO_014,"1493 PARK CENTRAL DR, Highlands Ranch, CO 80129"
M0084,60,Region_8,Non-binary,40.02737851,21,3.038461538,4,1,1,169,Friend,0,Applewood Village,STUDIO_008,"3244 YOUNGFIELD ST, Wheat Ridge, CO 80033"
M0085,46,Region_1,Female,25.76591376,13,2.0,4,1,1,229,Employer Program,0,Applewood Village,STUDIO_008,"3244 YOUNGFIELD ST, Wheat Ridge, CO 80033"
M0086,27,Region_8,Male,19.11841205,1,0.7,1,1,1,229,Walk-in,0,Cherry Knolls,STUDIO_012,"6860 S University Blvd, Littleton, CO 80122"
M0087,50,Region_0,Non-binary,30.51334702,35,1.346153846,4,1,1,169,Community Event,0,Applewood Village,STUDIO_008,"3244 YOUNGFIELD ST, Wheat Ridge, CO 80033"
M0088,40,Region_1,Male,22.7980835,21,0.961538462,4,1,1,129,Walk-in,1,Cherry Knolls,STUDIO_012,"6860 S University Blvd, Littleton, CO 80122"
M0089,40,Region_5,Female,42.66666667,5,1.829545455,4,1,1,129,Community Event,0,Broomfield,STUDIO_001,"1285 E 1ST AVENUE, Broomfield, CO 80020"
M0090,35,Region_4,Non-binary,32.31485284,9,1.076923077,4,1,1,229,Online Ad,1,Hilltop Village,STUDIO_006,"4243 E 136TH AVE, Thornton, CO 80602"
M0091,80,Region_3,Non-binary,24.91170431,39,4.115384615,4,1,1,229,Social Media,0,Uptown Denver,STUDIO_004,"450 E. 17TH AVE, Denver, CO 80203"
M0092,37,Region_0,Female,61.34154689,10,1.269230769,4,1,1,129,Online Ad,0,Denver Highlands,STUDIO_005,"3300 W 32ND AVENUE, Denver, CO 80211"
M0093,53,Region_2,Non-binary,54.07255305,36,1.576923077,4,1,1,129,Employer Program,0,Highlands Ranch,STUDIO_014,"1493 PARK CENTRAL DR, Highlands Ranch, CO 80129"
M0094,73,Region_3,Male,44.20533881,68,1.923076923,4,1,1,229,Employer Program,0,Cherry Knolls,STUDIO_012,"6860 S University Blvd, Littleton, CO 80122"
M0095,50,Region_4,Male,30.770705,21,1.961538462,4,1,1,169,Other,1,Hilltop Village,STUDIO_006,"4243 E 136TH AVE, Thornton, CO 80602"
M0096,61,Region_0,Non-binary,33.00205339,37,2.307692308,4,1,1,229,Partnership,0,Cherry Knolls,STUDIO_012,"6860 S University Blvd, Littleton, CO 80122"
M0097,69,Region_7,Male,32.29842574,35,3.230769231,4,1,1,229,Partnership,0,Denver Highlands,STUDIO_005,"3300 W 32ND AVENUE, Denver, CO 80211"
M0098,71,Region_4,Male,21.0513347,15,4.423076923,4,0,1,169,Community Event,1,Castle Rock,STUDIO_015,"3990 LIMELIGHT AVE, Castle Rock, CO 80109"
M0099,42,Region_0,Non-binary,58.94592745,18,1.346153846,4,0,1,229,Employer Program,1,Uptown Denver,STUDIO_004,"450 E. 17TH AVE, Denver, CO 80203"
M0100,54,Region_7,Female,41.89185489,40,1.423076923,4,1,1,169,Social Media,0,Uptown Denver,STUDIO_004,"450 E. 17TH AVE, Denver, CO 80203"
M0101,58,Region_7,Female,31.41136208,23,2.692307692,4,1,1,129,Walk-in,1,Uptown Denver,STUDIO_004,"450 E. 17TH AVE, Denver, CO 80203"
M0102,57,Region_8,Non-binary,39.68240931,32,2.115384615,4,1,1,169,Walk-in,0,Highlands Ranch,STUDIO_014,"1493 PARK CENTRAL DR, Highlands Ranch, CO 80129"
M0103,72,Region_0,Non-binary,54.85284052,29,3.769230769,4,1,1,169,Community Event,0,Broomfield,STUDIO_001,"1285 E 1ST AVENUE, Broomfield, CO 80020"
M0104,52,Region_8,Female,29.80150582,21,2.192307692,4,1,1,169,Walk-in,0,Cherry Knolls,STUDIO_012,"6860 S University Blvd, Littleton, CO 80122"
M0105,69,Region_6,Female,21.908282,33,3.307692308,4,1,1,169,Community Event,1,Cherry Knolls,STUDIO_012,"6860 S University Blvd, Littleton, CO 80122"
M0106,70,Region_0,Female,38.15195072,24,3.807692308,4,1,1,169,Partnership,0,Lowry,STUDIO_009,"200 QUEBEC ST, Denver, CO 80230"
M0107,68,Region_6,Female,40.64065708,16,4.0,4,1,1,129,Partnership,0,Cherry Knolls,STUDIO_012,"6860 S University Blvd, Littleton, CO 80122"
M0108,70,Region_5,Female,20.15058179,1,4.958333333,4,1,1,229,Community Event,1,Broomfield,STUDIO_001,"1285 E 1ST AVENUE, Broomfield, CO 80020"
M0109,38,Region_2,Male,45.38809035,21,0.769230769,4,1,1,229,Community Event,0,Highlands Ranch,STUDIO_014,"1493 PARK CENTRAL DR, Highlands Ranch, CO 80129"
M0110,95,Region_4,Female,53.16632444,68,4.153846154,4,1,1,129,Social Media,0,Uptown Denver,STUDIO_004,"450 E. 17TH AVE, Denver, CO 80203"
M0111,50,Region_6,Female,36.76659822,24,1.846153846,4,1,1,169,Partnership,0,Denver Highlands,STUDIO_005,"3300 W 32ND AVENUE, Denver, CO 80211"
M0112,63,Region_6,Non-binary,39.11293634,32,2.769230769,4,1,1,229,Walk-in,1,Broomfield,STUDIO_001,"1285 E 1ST AVENUE, Broomfield, CO 80020"
M0113,55,Region_7,Male,62.97878166,6,3.269230769,4,1,1,229,Employer Program,0,Hilltop Village,STUDIO_006,"4243 E 136TH AVE, Thornton, CO 80602"
M0114,65,Region_4,Female,59.90965092,55,1.846153846,4,1,1,169,Social Media,1,Hilltop Village,STUDIO_006,"4243 E 136TH AVE, Thornton, CO 80602"
M0115,39,Region_7,Female,52.55304586,3,1.765765766,4,1,1,169,Online Ad,1,Broomfield,STUDIO_001,"1285 E 1ST AVENUE, Broomfield, CO 80020"
M0116,44,Region_0,Non-binary,21.98494182,34,0.769230769,4,1,1,229,Online Ad,0,Cherry Knolls,STUDIO_012,"6860 S University Blvd, Littleton, CO 80122"
M0117,63,Region_4,Non-binary,40.69815195,67,1.038461538,4,1,1,229,Employer Program,0,Castle Rock,STUDIO_015,"3990 LIMELIGHT AVE, Castle Rock, CO 80109"
M0118,40,Region_0,Non-binary,39.00616016,25,0.769230769,4,1,1,169,Friend,1,Highlands Ranch,STUDIO_014,"1493 PARK CENTRAL DR, Highlands Ranch, CO 80129"
M0119,10,Region_4,Male,38.23682409,10,0.576923077,4,1,0,229,Friend,1,Highlands Ranch,STUDIO_014,"1493 PARK CENTRAL DR, Highlands Ranch, CO 80129"
M0120,56,Region_2,Female,50.83093771,38,1.769230769,4,1,1,169,Other,1,Uptown Denver,STUDIO_004,"450 E. 17TH AVE, Denver, CO 80203"
M0121,81,Region_3,Male,56.75017112,42,4.0,4,0,1,229,Social Media,0,Highlands Ranch,STUDIO_014,"1493 PARK CENTRAL DR, Highlands Ranch, CO 80129"
M0122,81,Region_8,Non-binary,34.36002738,49,3.730769231,4,1,1,169,Online Ad,0,Lowry,STUDIO_009,"200 QUEBEC ST, Denver, CO 80230"
M0123,62,Region_4,Male,51.55920602,63,1.076923077,4,1,1,169,Online Ad,1,Cherry Knolls,STUDIO_012,"6860 S University Blvd, Littleton, CO 80122"
M0124,34,Region_2,Female,22.04791239,13,0.846153846,4,1,1,229,Employer Program,1,Lowry,STUDIO_009,"200 QUEBEC ST, Denver, CO 80230"
M0125,36,Region_0,Non-binary,30.90485969,5,1.425925926,4,1,1,169,Friend,0,Highlands Ranch,STUDIO_014,"1493 PARK CENTRAL DR, Highlands Ranch, CO 80129"
M0126,53,Region_7,Male,23.45790554,5,3.078313253,4,1,1,169,Other,0,Denver Highlands,STUDIO_005,"3300 W 32ND AVENUE, Denver, CO 80211"
M0127,54,Region_3,Non-binary,44.26830938,50,0.961538462,4,1,1,129,Social Media,0,Uptown Denver,STUDIO_004,"450 E. 17TH AVE, Denver, CO 80203"
M0128,29,Region_4,Male,36.8569473,47,0.615384615,4,1,0,229,Online Ad,1,Hilltop Village,STUDIO_006,"4243 E 136TH AVE, Thornton, CO 80602"
M0129,55,Region_1,Non-binary,37.12799452,32,1.923076923,4,1,1,129,Social Media,0,Highlands Ranch,STUDIO_014,"1493 PARK CENTRAL DR, Highlands Ranch, CO 80129"
M0130,68,Region_0,Male,58.09993155,46,2.5,4,1,1,129,Social Media,0,Castle Rock,STUDIO_015,"3990 LIMELIGHT AVE, Castle Rock, CO 80109"
M0131,82,Region_6,Male,37.66461328,54,3.576923077,4,1,1,169,Employer Program,0,Broomfield,STUDIO_001,"1285 E 1ST AVENUE, Broomfield, CO 80020"
M0132,57,Region_0,Female,35.41683778,57,0.923076923,4,1,1,169,Community Event,0,Cherry Knolls,STUDIO_012,"6860 S University Blvd, Littleton, CO 80122"
M0133,52,Region_1,Male,52.10951403,26,1.923076923,4,1,1,169,Social Media,0,Broomfield,STUDIO_001,"1285 E 1ST AVENUE, Broomfield, CO 80020"
M0134,38,Region_5,Non-binary,24.32580424,3,1.731958763,4,1,1,129,Online Ad,0,Highlands Ranch,STUDIO_014,"1493 PARK CENTRAL DR, Highlands Ranch, CO 80129"
M0135,54,Region_1,Female,31.78644764,1,3.425531915,4,1,1,229,Social Media,1,Cherry Knolls,STUDIO_012,"6860 S University Blvd, Littleton, CO 80122"
M0136,58,Region_4,Non-binary,57.14989733,40,1.884615385,4,1,1,229,Online Ad,0,Applewood Village,STUDIO_008,"3244 YOUNGFIELD ST, Wheat Ridge, CO 80033"
M0137,78,Region_8,Female,58.1026694,51,3.307692308,4,1,1,169,Social Media,0,Cherry Knolls,STUDIO_012,"6860 S University Blvd, Littleton, CO 80122"
M0138,75,Region_3,Female,30.275154,24,4.307692308,4,1,1,169,Social Media,0,Hilltop Village,STUDIO_006,"4243 E 136TH AVE, Thornton, CO 80602"
M0139,42,Region_0,Male,50.32991102,4,2.007352941,4,1,1,169,Partnership,0,Denver Highlands,STUDIO_005,"3300 W 32ND AVENUE, Denver, CO 80211"
M0140,61,Region_2,Male,20.47091034,56,1.307692308,4,1,1,129,Social Media,1,Cherry Knolls,STUDIO_012,"6860 S University Blvd, Littleton, CO 80122"
M0141,53,Region_8,Non-binary,41.6,1,3.25,4,1,1,169,Online Ad,1,Hilltop Village,STUDIO_006,"4243 E 136TH AVE, Thornton, CO 80602"
M0142,69,Region_4,Male,53.28405202,58,2.0,4,1,1,229,Community Event,0,Highlands Ranch,STUDIO_014,"1493 PARK CENTRAL DR, Highlands Ranch, CO 80129"
M0143,42,Region_4,Male,31.47433265,15,1.538461538,4,1,1,229,Online Ad,0,Denver Highlands,STUDIO_005,"3300 W 32ND AVENUE, Denver, CO 80211"
M0144,56,Region_6,Non-binary,36.76659822,7,3.346153846,4,1,1,229,Online Ad,0,Hilltop Village,STUDIO_006,"4243 E 136TH AVE, Thornton, CO 80602"
M0145,69,Region_2,Male,63.15400411,13,4.307692308,4,1,1,229,Social Media,0,Denver Highlands,STUDIO_005,"3300 W 32ND AVENUE, Denver, CO 80211"
M0146,54,Region_4,Non-binary,61.05407255,25,2.192307692,4,1,1,229,Online Ad,0,Denver Highlands,STUDIO_005,"3300 W 32ND AVENUE, Denver, CO 80211"
M0147,39,Region_8,Non-binary,25.04312115,21,0.884615385,4,1,1,229,Partnership,0,Cherry Knolls,STUDIO_012,"6860 S University Blvd, Littleton, CO 80122"
M0148,47,Region_1,Male,36.87611225,38,0.884615385,4,1,1,129,Online Ad,0,Highlands Ranch,STUDIO_014,"1493 PARK CENTRAL DR, Highlands Ranch, CO 80129"
M0149,85,Region_8,Male,44.06297057,58,3.692307692,4,1,1,229,Partnership,0,Broomfield,STUDIO_001,"1285 E 1ST AVENUE, Broomfield, CO 80020"
M0150,37,Region_7,Female,61.80971937,19,0.846153846,4,1,1,229,Online Ad,1,Cherry Knolls,STUDIO_012,"6860 S University Blvd, Littleton, CO 80122"
M0151,71,Region_5,Male,63.08555784,44,2.961538462,4,1,1,229,Partnership,0,Cherry Knolls,STUDIO_012,"6860 S University Blvd, Littleton, CO 80122"
M0152,76,Region_4,Female,44.99931554,64,2.423076923,4,1,1,129,Community Event,0,Cherry Knolls,STUDIO_012,"6860 S University Blvd, Littleton, CO 80122"
M0153,32,Region_5,Non-binary,45.47570157,2,1.139534884,4,1,1,129,Community Event,0,Applewood Village,STUDIO_008,"3244 YOUNGFIELD ST, Wheat Ridge, CO 80033"
M0154,54,Region_6,Non-binary,63.92334018,25,2.230769231,4,1,1,229,Walk-in,0,Hilltop Village,STUDIO_006,"4243 E 136TH AVE, Thornton, CO 80602"
M0155,97,Region_0,Male,54.56536619,66,4.461538462,4,0,1,229,Online Ad,0,Lowry,STUDIO_009,"200 QUEBEC ST, Denver, CO 80230"
M0156,72,Region_3,Male,54.50513347,68,1.884615385,4,1,1,169,Walk-in,0,Cherry Knolls,STUDIO_012,"6860 S University Blvd, Littleton, CO 80122"
M0157,34,Region_2,Female,40.59137577,19,0.461538462,4,1,1,169,Employer Program,0,Broomfield,STUDIO_001,"1285 E 1ST AVENUE, Broomfield, CO 80020"
M0158,82,Region_3,Male,57.79329227,38,4.307692308,4,1,1,169,Social Media,1,Broomfield,STUDIO_001,"1285 E 1ST AVENUE, Broomfield, CO 80020"
